SOURCE_COLUMNS,TARGET_COLUMN,TRANSFORMATION,SOURCE_FIELD,TARGET_FIELD,SOURCE_NODE,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
dbo.Orders_Extract[CustomerID],Package\Select into variable[CustomerID],,CustomerID,CustomerID,0,3,1,0,aliceblue
dbo.Orders_Extract[OrderID],Package\Select into variable[OrderID],,OrderID,OrderID,0,3,1,1,aliceblue
dbo.Orders_Extract[OrderDate],Package\Select into variable[OrderDate],,OrderDate,OrderDate,0,3,1,2,aliceblue
Package\Select into variable[CustomerID],User::res_set[CustomerID],,CustomerID,CustomerID,3,4,1,6,aliceblue
Package\Select into variable[OrderID],User::res_set[OrderID],,OrderID,OrderID,3,4,1,7,aliceblue
Package\Select into variable[OrderDate],User::res_set[OrderDate],,OrderDate,OrderDate,3,4,1,8,aliceblue
User::OrderStatus[User::OrderStatus],Package\Select into variable[User::OrderStatus],,User::OrderStatus,User::OrderStatus,1,3,1,15,aliceblue
User::TotalAmount [User::TotalAmount ],Package\Select into variable[User::TotalAmount ],,User::TotalAmount ,User::TotalAmount ,2,3,1,16,aliceblue
Package\Insert into table\Insert into order_write[OrderID],Order_write[OrderID],User::Sup_id,OrderID,OrderID,6,7,1,17,aliceblue
Package\Insert into table\Insert into order_write[Dateloop],Order_write[Dateloop],CURRENT_TIMESTAMP(),Dateloop,Dateloop,6,7,1,18,#ffb480
Package\Insert into table\Insert into order_write[Cat_ID],Order_write[Cat_ID],User::Cat_id,Cat_ID,Cat_ID,6,7,1,19,aliceblue
User::res_set[CustomerID],Package\Insert into table[CustomerID],,CustomerID,CustomerID,4,5,1,20,aliceblue
Package\Insert into table[User::Sup_id],Package\Insert into table\Insert into order_write[User::Sup_id],,User::Sup_id,User::Sup_id,5,6,1,21,aliceblue
Package\Insert into table\Insert into order_write[User::Sup_id],User::Sup_id[User::Sup_id],,User::Sup_id,User::Sup_id,6,8,1,22,aliceblue
User::Sup_id[User::Sup_id],Package\Insert into table[User::Sup_id],,User::Sup_id,User::Sup_id,8,5,1,23,aliceblue
User::res_set[OrderDate],Package\Insert into table[OrderDate],,OrderDate,OrderDate,4,5,1,24,aliceblue
Package\Insert into table[User::Cat_id],Package\Insert into table\Insert into order_write[User::Cat_id],,User::Cat_id,User::Cat_id,5,6,1,25,aliceblue
Package\Insert into table\Insert into order_write[User::Cat_id],User::Cat_id[User::Cat_id],,User::Cat_id,User::Cat_id,6,9,1,26,aliceblue
User::Cat_id[User::Cat_id],Package\Insert into table[User::Cat_id],,User::Cat_id,User::Cat_id,9,5,1,27,aliceblue
old_table[CompanyName],Package\Overwrite insert table[CompanyName],,CompanyName,CompanyName,10,12,1,28,aliceblue
old_table[Preferred],Package\Overwrite insert table[Preferred],,Preferred,Preferred,10,12,1,29,aliceblue
old_table[Discount],Package\Overwrite insert table[Discount],,Discount,Discount,10,12,1,30,aliceblue
old_table[Country],Package\Overwrite insert table[Country],,Country,Country,10,12,1,31,aliceblue
old_table[Address],Package\Overwrite insert table[Address],,Address,Address,10,12,1,32,aliceblue
old_table[Region],Package\Overwrite insert table[Region],,Region,Region,10,12,1,33,aliceblue
old_table[Fax],Package\Overwrite insert table[Fax],,Fax,Fax,10,12,1,34,aliceblue
old_table[Phone],Package\Overwrite insert table[Phone],,Phone,Phone,10,12,1,35,aliceblue
old_table[City],Package\Overwrite insert table[City],,City,City,10,12,1,36,aliceblue
old_table[SupplierID],Package\Overwrite insert table[SupplierID],,SupplierID,SupplierID,10,12,1,37,aliceblue
