SOURCE_COLUMNS,TARGET_COLUMN,TRANSFORMATION,SOURCE_FIELD,TARGET_FIELD,SOURCE_NODE,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
query_Package\FTP_unvipot_1[value: 0],staging.FTP_Unpivot[Dirty_space_Price],,value: 0,Dirty_space_Price,1.0,0,1,0,aliceblue
query_Package\FTP_unvipot_2[value: 0],staging.FTP_Unpivot[Dirty_space_Price],,value: 0,Dirty_space_Price,3.0,0,1,1,aliceblue
dbo.REP_Discount_Factors[DEL],query_Package\Delete_discount_factors_2[DEL],,DEL,DEL,4.0,5,1,0,aliceblue
dbo.REP_Master_GAP[DEL],query_Package\del_master_gap_2[DEL],,DEL,DEL,6.0,7,1,0,aliceblue
QRM.Run_Time_Description[DateTimeStamp],subquery_1[DateTimeStamp],,DateTimeStamp,DateTimeStamp,13.0,12,1,0,aliceblue
subquery_1[DateTimeStamp],query_User::Run_time_descip[DateTimeStamp],,DateTimeStamp,DateTimeStamp,12.0,14,1,1,aliceblue
User::Comp_Name[User::Comp_Name],subquery_1[User::Comp_Name],,User::Comp_Name,User::Comp_Name,11.0,12,1,2,aliceblue
User::Port_current[User::Port_current],subquery_1[User::Port_current],,User::Port_current,User::Port_current,8.0,12,1,3,aliceblue
QRM.Run_Time_Description[INT],query_User::Run_time_descip[INT],,INT,INT,13.0,14,1,4,aliceblue
query_User::Run_time_descip[INT],User::Run_time_descip[forcastid],TYPE_CONVERSION(INT),INT,forcastid,14.0,15,1,5,#ff6961
User::Comp_Name[User::Comp_Name],query_User::Run_time_descip[User::Comp_Name],,User::Comp_Name,User::Comp_Name,11.0,14,1,6,aliceblue
User::Matchgap[User::Matchgap],query_User::Run_time_descip[User::Matchgap],,User::Matchgap,User::Matchgap,10.0,14,1,7,aliceblue
User::Port_current[User::Port_current],query_User::Run_time_descip[User::Port_current],,User::Port_current,User::Port_current,8.0,14,1,8,aliceblue
staging.FTP_Unpivot[COUNT(*)],subquery_3[COUNT(*)],,COUNT(*),COUNT(*),0.0,21,1,0,aliceblue
subquery_3[COUNT(*)],query_User::RecordCount[FUP_CNT],COUNT(*) AS FUP_CNT,COUNT(*),FUP_CNT,21.0,27,1,1,#ff6961
staging.FTP_Shocks[COUNT(*)],subquery_2[COUNT(*)],,COUNT(*),COUNT(*),24.0,23,1,2,aliceblue
