,SOURCE_COLUMNS,TARGET_COLUMN,TRANSFORMATION,SOURCE_FIELD,TARGET_FIELD,SOURCE_NODE,TARGET_NODE,LINK_VALUE,ROW_ID,COLOR
0,Supp_Prod_output.CompanyName,Package\Overwrite insert table.CompanyName,,CompanyName,CompanyName,0,2,1,0,aliceblue
1,Supp_Prod_output.Preferred,Package\Overwrite insert table.Preferred,,Preferred,Preferred,0,2,1,1,aliceblue
2,Supp_Prod_output.Discount,Package\Overwrite insert table.Discount,,Discount,Discount,0,2,1,2,aliceblue
3,Supp_Prod_output.Country,Package\Overwrite insert table.Country,,Country,Country,0,2,1,3,aliceblue
4,Supp_Prod_output.Address,Package\Overwrite insert table.Address,,Address,Address,0,2,1,4,aliceblue
5,Supp_Prod_output.Region,Package\Overwrite insert table.Region,,Region,Region,0,2,1,5,aliceblue
6,Supp_Prod_output.Fax,Package\Overwrite insert table.Fax,,Fax,Fax,0,2,1,6,aliceblue
7,Supp_Prod_output.Phone,Package\Overwrite insert table.Phone,,Phone,Phone,0,2,1,7,aliceblue
8,Supp_Prod_output.City,Package\Overwrite insert table.City,,City,City,0,2,1,8,aliceblue
9,Supp_Prod_output.SupplierID,Package\Overwrite insert table.SupplierID,,SupplierID,SupplierID,0,2,1,9,aliceblue
10,Supp_Prod_output.ContactName,Package\Overwrite insert table.ContactName,,ContactName,ContactName,0,2,1,10,aliceblue
11,Supp_Prod_output.ContactTitle,Package\Overwrite insert table.ContactTitle,,ContactTitle,ContactTitle,0,2,1,11,aliceblue
12,Supp_Prod_output.PostalCode,Package\Overwrite insert table.PostalCode,,PostalCode,PostalCode,0,2,1,12,aliceblue
13,Supp_Prod_output.ValidFrom,Package\Overwrite insert table.ValidFrom,,ValidFrom,ValidFrom,0,2,1,13,aliceblue
14,Supp_Prod_output.ValidTo,Package\Overwrite insert table.ValidTo,,ValidTo,ValidTo,0,2,1,14,aliceblue
15,Supp_Prod_output.Active,Package\Overwrite insert table.Active,,Active,Active,0,2,1,15,aliceblue
16,Supp_Prod_output.UnitPrice,Package\Overwrite insert table.UnitPrice,,UnitPrice,UnitPrice,0,2,1,16,aliceblue
17,Package\Overwrite insert table.CompanyName,New_Supp_Prod_output.CompanyName,,CompanyName,CompanyName,2,3,1,34,aliceblue
18,Package\Overwrite insert table.Preferred,New_Supp_Prod_output.Preferred,,Preferred,Preferred,2,3,1,35,aliceblue
19,Package\Overwrite insert table.Discount,New_Supp_Prod_output.Discount,,Discount,Discount,2,3,1,36,aliceblue
20,Package\Overwrite insert table.Country,New_Supp_Prod_output.Country,,Country,Country,2,3,1,37,aliceblue
21,Package\Overwrite insert table.Address,New_Supp_Prod_output.Address,,Address,Address,2,3,1,38,aliceblue
22,Package\Overwrite insert table.Region,New_Supp_Prod_output.Region,,Region,Region,2,3,1,39,aliceblue
23,Package\Overwrite insert table.Fax,New_Supp_Prod_output.Fax,,Fax,Fax,2,3,1,40,aliceblue
24,Package\Overwrite insert table.Phone,New_Supp_Prod_output.Phone,,Phone,Phone,2,3,1,41,aliceblue
25,Package\Overwrite insert table.City,New_Supp_Prod_output.City,,City,City,2,3,1,42,aliceblue
26,Package\Overwrite insert table.SupplierID,New_Supp_Prod_output.SupplierID,,SupplierID,SupplierID,2,3,1,43,aliceblue
27,Package\Overwrite insert table.ContactName,New_Supp_Prod_output.ContactName,,ContactName,ContactName,2,3,1,44,aliceblue
28,Package\Overwrite insert table.ContactTitle,New_Supp_Prod_output.ContactTitle,,ContactTitle,ContactTitle,2,3,1,45,aliceblue
29,Package\Overwrite insert table.PostalCode,New_Supp_Prod_output.PostalCode,,PostalCode,PostalCode,2,3,1,46,aliceblue
30,Package\Overwrite insert table.ValidFrom,New_Supp_Prod_output.ValidFrom,,ValidFrom,ValidFrom,2,3,1,47,aliceblue
31,Package\Overwrite insert table.ValidTo,New_Supp_Prod_output.ValidTo,,ValidTo,ValidTo,2,3,1,48,aliceblue
32,Package\Overwrite insert table.Active,New_Supp_Prod_output.Active,,Active,Active,2,3,1,49,aliceblue
33,Package\Overwrite insert table.UnitPrice,New_Supp_Prod_output.UnitPrice,,UnitPrice,UnitPrice,2,3,1,50,aliceblue
34,User::CurrentDateTime.User::CurrentDateTime,Package\Overwrite insert table.User::CurrentDateTime,,User::CurrentDateTime,User::CurrentDateTime,1,2,1,85,aliceblue
