NAME_NODE,LABEL_NODE,FILTER,FUNCTION,JOIN_ARG,COLOR,ID
Package\Loop over variable table,Package\Loop over variable table,,ForEachLoopContainer,,gold,0
Supp_Prod_output,Supp_Prod_output,,DataSources,,gold,1
User::CurrentDateTime,User::CurrentDateTime,,Variable,,green,2
Package\Overwrite insert table,Package\Overwrite insert table,Region = 'User::CurrentDateTime',Query,,black,3
New_Supp_Prod_output,New_Supp_Prod_output,,DataDestinations,,gold,4
"""dbo""/""Products_Extract""","""dbo""/""Products_Extract""",,DataSources,,gold,5
User::Ship_country,User::Ship_country,,Variable,,green,6
User::Unit_stock,User::Unit_stock,,Variable,,green,7
Package\Select into variable,Package\Select into variable,Country = 'User::Ship_country' AND UnitsInStock > 'User::Unit_stock',Query,,black,8
User::res_set,User::res_set,,Variable,,green,9
