,ID_block_out,ID_block_in,type_block_out,type_block_in
0,Package\Region merge\Data Conversion 1,Package\Region merge\Sort teritory,Microsoft.DataConvert,Microsoft.Sort
1,Package\Region merge\Data Conversion,Package\Region merge\Sort region,Microsoft.DataConvert,Microsoft.Sort
2,Package\Region merge\Merge Join,Package\Region merge\Multicast,Microsoft.MergeJoin,Microsoft.Multicast
3,Package\Region merge\Multicast,Package\Region merge\Unpivot,Microsoft.Multicast,Microsoft.UnPivot
4,Package\Region merge\Multicast,Package\Region merge\Orginal_table,Microsoft.Multicast,Microsoft.SSISODBCDst
5,Package\Region merge\Teritory,Package\Region merge\Data Conversion 1,Microsoft.SSISODBCSrc,Microsoft.DataConvert
6,Package\Region merge\Region,Package\Region merge\Data Conversion,Microsoft.SSISODBCSrc,Microsoft.DataConvert
7,Package\Region merge\Sort teritory,Package\Region merge\Merge Join,Microsoft.Sort,Microsoft.MergeJoin
8,Package\Region merge\Sort region,Package\Region merge\Merge Join,Microsoft.Sort,Microsoft.MergeJoin
9,Package\Region merge\Unpivot,Package\Region merge\Pivot_table,Microsoft.UnPivot,Microsoft.SSISODBCDst
