,SOURCE_COLUMNS,TARGET_COLUMN,TRANSFORMATION
0,subquery_3_Package\RecordCount[COUNT(*)],query_User::RecordCount[FUP_CNT],COUNT(*) AS FUP_CNT
1,subquery_2_Package\RecordCount[COUNT(*)],query_User::RecordCount[FSH_CNT],COUNT(*) AS FSH_CNT
2,subquery_1_Package\RecordCount[COUNT(*)],query_User::RecordCount[FBA_CNT],COUNT(*) AS FBA_CNT
3,query_User::RecordCount[FBA_CNT + FSH_CNT + FUP_CNT],User::RecordCount[RecordCount],FBA_CNT + FSH_CNT + FUP_CNT AS RecordCount
4,subquery_5_Package\rec_count[COUNT(*)],query_User::Rec_cnt[GAP_CNT],COUNT(*) AS GAP_CNT
5,subquery_4_Package\rec_count[COUNT(*)],query_User::Rec_cnt[FOP_CNT],COUNT(*) AS FOP_CNT
6,subquery_3_Package\rec_count[COUNT(*)],query_User::Rec_cnt[ACD_CNT],COUNT(*) AS ACD_CNT
7,subquery_2_Package\rec_count[COUNT(*)],query_User::Rec_cnt[RTD_CNT],COUNT(*) AS RTD_CNT
8,subquery_1_Package\rec_count[COUNT(*)],query_User::Rec_cnt[PLN_CNT],COUNT(*) AS PLN_CNT
9,query_User::Rec_cnt[PLN.PLN_CNT + RTD.RTD_CNT + ACD.ACD_CNT + FOP.FOP_CNT + GAP.GAP_CNT],User::Rec_cnt[ANONYM],PLN.PLN_CNT + RTD.RTD_CNT + ACD.ACD_CNT + FOP.FOP_CNT + GAP.GAP_CNT AS ANONYM
